Subject	Activity	Mean	Std
2	STANDING	-0.636454993012462	0.536059426538189
2	SITTING	-0.640597914078914	0.536914141147994
2	LAYING	-0.639973837827844	0.543318302012276
2	WALKING	-0.385708093716054	0.471751410540144
2	WALKING_DOWNSTAIRS	-0.259677293061387	0.465729490758389
2	WALKING_UPSTAIRS	-0.363983305102955	0.466703992931453
4	STANDING	-0.618583772157932	0.530351097607765
4	SITTING	-0.627074988752137	0.530636923654938
4	LAYING	-0.630875080725603	0.538918856382756
4	WALKING	-0.43055661483918	0.485536384535955
4	WALKING_DOWNSTAIRS	-0.363790441016887	0.485503779291866
4	WALKING_UPSTAIRS	-0.415260374462441	0.482342658990012
9	STANDING	-0.633713631013694	0.526030674232032
9	SITTING	-0.627530823653232	0.524475751851574
9	LAYING	-0.628414047268328	0.530063039309266
9	WALKING	-0.37164660578822	0.467267674726799
9	WALKING_DOWNSTAIRS	-0.313140747277053	0.475828264325837
9	WALKING_UPSTAIRS	-0.427075431896002	0.480856175330876
10	STANDING	-0.630886542166037	0.526755493498941
10	SITTING	-0.640078551091241	0.542251226544214
10	LAYING	-0.633606314208567	0.538143814511992
10	WALKING	-0.327086776127028	0.459226854544395
10	WALKING_DOWNSTAIRS	-0.263162073365728	0.463337371199746
10	WALKING_UPSTAIRS	-0.345652600356602	0.463053071179259
12	STANDING	-0.627684013763497	0.530219182625889
12	SITTING	-0.636301750626951	0.52622870168125
12	LAYING	-0.63012919397725	0.528718342661708
12	WALKING	-0.355560155447154	0.465934707083466
12	WALKING_DOWNSTAIRS	-0.311490436338625	0.479102128871457
12	WALKING_UPSTAIRS	-0.42179157558609	0.4801841508273
13	STANDING	-0.639297749080434	0.535187318003595
13	SITTING	-0.638179130162868	0.543066636603673
13	LAYING	-0.624337936876007	0.553755547011914
13	WALKING	-0.316988827925179	0.460854393995368
13	WALKING_DOWNSTAIRS	-0.317234723087439	0.463191730560919
13	WALKING_UPSTAIRS	-0.411582073864772	0.481399962634359
18	STANDING	-0.645518459042212	0.53099975134502
18	SITTING	-0.650240242162375	0.534395879168263
18	LAYING	-0.645039855011435	0.539909038662556
18	WALKING	-0.436306077297177	0.474007929974224
18	WALKING_DOWNSTAIRS	-0.438663811185222	0.484648090481038
18	WALKING_UPSTAIRS	-0.470681472754459	0.490071688258083
20	STANDING	-0.620027732157146	0.523601719784163
20	SITTING	-0.639872725383092	0.527767117830281
20	LAYING	-0.644397438696908	0.532311298923294
20	WALKING	-0.259518117088663	0.458475195837703
20	WALKING_DOWNSTAIRS	-0.247169665420288	0.471620332044863
20	WALKING_UPSTAIRS	-0.338291941451443	0.467024672485213
24	STANDING	-0.634194893841734	0.53344655282101
24	SITTING	-0.646619496620551	0.526925830839725
24	LAYING	-0.634203387560794	0.541737906273239
24	WALKING	-0.416975175176002	0.473945996502654
24	WALKING_DOWNSTAIRS	-0.359085991984149	0.472990421003547
24	WALKING_UPSTAIRS	-0.43583828688532	0.474251576812081
1	STANDING	-0.647424789141436	0.542181337789553
1	SITTING	-0.633405230612481	0.546477904027143
1	LAYING	-0.607522391836014	0.542294404739403
1	WALKING	-0.319105810200331	0.452722654264638
1	WALKING_DOWNSTAIRS	-0.297226292824	0.455514566936833
1	WALKING_UPSTAIRS	-0.40699661814598	0.484862873610122
3	STANDING	-0.626824657789309	0.523981202663951
3	SITTING	-0.622780836987975	0.535481364875035
3	LAYING	-0.641445804875381	0.53124691328834
3	WALKING	-0.386865862874514	0.47042947054323
3	WALKING_DOWNSTAIRS	-0.350536138554404	0.471565414517055
3	WALKING_UPSTAIRS	-0.424274671811149	0.483280166456723
5	STANDING	-0.618821537531601	0.526482578726867
5	SITTING	-0.627014833570021	0.531734627480468
5	LAYING	-0.631793505517319	0.544391929156741
5	WALKING	-0.378535121986988	0.471349048704243
5	WALKING_DOWNSTAIRS	-0.296901580091929	0.479605858322798
5	WALKING_UPSTAIRS	-0.356353464901252	0.471016513212762
6	STANDING	-0.629253160586122	0.524918864445532
6	SITTING	-0.625412957710496	0.528560255624084
6	LAYING	-0.619421431071453	0.533051183737078
6	WALKING	-0.337513362522582	0.462995436937977
6	WALKING_DOWNSTAIRS	-0.198922424840441	0.478007541818861
6	WALKING_UPSTAIRS	-0.330642340129316	0.464916100757488
7	STANDING	-0.63369010626409	0.528953245701607
7	SITTING	-0.628833138374792	0.536419278331034
